,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
4,2023-09-16,18:45,Eredivisie,Matchweek 5,Sat,Away,W,2.0,0.0,Vitesse,1.8,0.7,44.0,16362.0,Michiel Kramer,4-2-3-1,Allard Lindhout,Match Report,,18.0,9.0,16.4,0.0,0,0,2024,RKC Waalwijk
5,2023-09-24,16:45,Eredivisie,Matchweek 6,Sun,Home,W,1.0,0.0,Twente,0.4,0.5,47.0,5512.0,Michiel Kramer,4-2-3-1,Joey Kooij,Match Report,,9.0,3.0,18.1,0.0,0,0,2024,RKC Waalwijk
6,2023-10-07,18:45,Eredivisie,Matchweek 8,Sat,Away,L,0.0,1.0,Almere City,0.6,1.9,57.0,4228.0,Michiel Kramer,4-2-3-1,Jeroen Manschot,Match Report,,13.0,4.0,18.4,1.0,0,0,2024,RKC Waalwijk
7,2023-10-21,18:45,Eredivisie,Matchweek 9,Sat,Home,W,2.0,1.0,Volendam,0.6,1.4,47.0,6188.0,Michiel Kramer,3-4-1-2,Edwin van de Graaf,Match Report,,10.0,4.0,19.6,0.0,0,0,2024,RKC Waalwijk
8,2023-10-28,20:00,Eredivisie,Matchweek 10,Sat,Away,L,0.0,2.0,Sparta R'dam,0.8,1.8,48.0,10341.0,Michiel Kramer,4-1-4-1,Sander van der Eijk,Match Report,,11.0,3.0,15.3,0.0,0,0,2024,RKC Waalwijk
9,2023-11-04,18:45,Eredivisie,Matchweek 11,Sat,Home,L,1.0,2.0,Feyenoord,0.5,4.2,25.0,7168.0,Michiel Kramer,4-1-4-1,Pol van Boekel,Match Report,,5.0,1.0,19.5,0.0,0,0,2024,RKC Waalwijk
10,2023-11-11,18:45,Eredivisie,Matchweek 12,Sat,Home,L,0.0,1.0,Go Ahead Eag,1.8,0.8,65.0,6157.0,Michiel Kramer,4-3-3,Jeroen Manschot,Match Report,,19.0,5.0,15.1,1.0,0,0,2024,RKC Waalwijk
11,2023-11-25,21:00,Eredivisie,Matchweek 13,Sat,Away,W,2.0,1.0,Zwolle,1.4,1.0,47.0,14000.0,Michiel Kramer,4-3-3,Martin van den Kerkhof,Match Report,,13.0,4.0,17.2,2.0,0,0,2024,RKC Waalwijk
12,2023-12-02,20:00,Eredivisie,Matchweek 14,Sat,Home,D,2.0,2.0,Excelsior,1.8,0.9,51.0,5869.0,Michiel Kramer,4-3-3,Bas Nijhuis,Match Report,,17.0,8.0,18.1,1.0,0,0,2024,RKC Waalwijk
13,2023-12-06,20:00,Eredivisie,Matchweek 7,Wed,Home,L,2.0,3.0,Ajax,0.9,1.4,40.0,7159.0,Michiel Kramer,4-2-3-1,Pol van Boekel,Match Report,,10.0,2.0,14.6,0.0,0,0,2024,RKC Waalwijk
14,2023-12-10,14:30,Eredivisie,Matchweek 15,Sun,Away,L,0.0,1.0,Fortuna Sittard,0.8,1.4,53.0,10397.0,Michiel Kramer,4-2-3-1,Joey Kooij,Match Report,,13.0,2.0,17.4,1.0,0,0,2024,RKC Waalwijk
15,2023-12-16,16:30,Eredivisie,Matchweek 16,Sat,Away,D,1.0,1.0,Utrecht,1.9,1.8,43.0,22033.0,Michiel Kramer,4-2-3-1,Serdar Gözübüyük,Match Report,,11.0,3.0,22.9,2.0,1,1,2024,RKC Waalwijk
16,2024-01-12,20:00,Eredivisie,Matchweek 17,Fri,Home,L,1.0,2.0,Heracles Almelo,1.9,1.3,54.0,6412.0,Michiel Kramer,4-2-3-1,Rob Dieperink,Match Report,,17.0,7.0,17.2,1.0,1,1,2024,RKC Waalwijk
0,2023-08-11,20:00,Eredivisie,Matchweek 1,Fri,Home,L,1.0,2.0,Vitesse,0.7,1.5,29.0,6382.0,Xavier Mbuyamba,4-2-3-1,Dennis Higler,Match Report,,4.0,4.0,15.5,0.0,0,0,2024,Volendam
1,2023-08-19,21:00,Eredivisie,Matchweek 2,Sat,Away,L,1.0,4.0,Go Ahead Eag,1.4,0.6,58.0,9376.0,Xavier Mbuyamba,4-2-3-1,Edwin van de Graaf,Match Report,,19.0,5.0,16.0,0.0,0,0,2024,Volendam
2,2023-09-03,14:30,Eredivisie,Matchweek 4,Sun,Home,L,0.0,2.0,Twente,0.5,1.5,36.0,6600.0,Damon Mirani,4-3-3,Richard Martens,Match Report,,7.0,2.0,17.2,0.0,0,0,2024,Volendam
3,2023-09-16,20:00,Eredivisie,Matchweek 5,Sat,Away,L,1.0,3.0,Fortuna Sittard,0.2,2.6,42.0,9238.0,Damon Mirani,4-2-3-1,Jochem Kamphuis,Match Report,,7.0,2.0,21.9,0.0,0,0,2024,Volendam
4,2023-09-23,16:30,Eredivisie,Matchweek 6,Sat,Home,D,2.0,2.0,Heracles Almelo,2.0,1.6,50.0,6600.0,Damon Mirani,4-2-3-1,Ingmar Oostrom,Match Report,,16.0,6.0,14.5,1.0,0,0,2024,Volendam
5,2023-09-30,18:45,Eredivisie,Matchweek 7,Sat,Away,L,1.0,3.0,PSV Eindhoven,0.8,4.2,25.0,34000.0,Damon Mirani,5-4-1,Allard Lindhout,Match Report,,1.0,0.0,25.7,0.0,1,1,2024,Volendam
6,2023-10-06,20:00,Eredivisie,Matchweek 8,Fri,Home,W,1.0,0.0,Utrecht,2.6,0.9,65.0,6525.0,Damon Mirani,4-3-3,Serdar Gözübüyük,Match Report,,15.0,5.0,16.0,1.0,0,0,2024,Volendam
7,2023-10-21,18:45,Eredivisie,Matchweek 9,Sat,Away,L,1.0,2.0,RKC Waalwijk,1.4,0.6,53.0,6188.0,Xavier Mbuyamba,4-1-4-1,Edwin van de Graaf,Match Report,,11.0,3.0,16.2,1.0,0,0,2024,Volendam
8,2023-10-29,14:30,Eredivisie,Matchweek 10,Sun,Home,W,3.0,1.0,Excelsior,4.0,1.6,50.0,6500.0,Damon Mirani,4-3-3,Alex Bos,Match Report,,20.0,11.0,12.4,1.0,0,0,2024,Volendam
9,2023-11-02,20:00,Eredivisie,Matchweek 3,Thu,Away,L,0.0,2.0,Ajax,0.9,3.4,33.0,54177.0,Damon Mirani,4-2-3-1,Martin van den Kerkhof,Match Report,,7.0,3.0,15.9,0.0,0,0,2024,Volendam
10,2023-11-05,14:30,Eredivisie,Matchweek 11,Sun,Away,D,3.0,3.0,NEC Nijmegen,1.6,2.0,61.0,12500.0,Damon Mirani,4-2-3-1,Jochem Kamphuis,Match Report,,15.0,7.0,15.8,1.0,0,0,2024,Volendam
11,2023-11-12,14:30,Eredivisie,Matchweek 12,Sun,Home,L,1.0,4.0,Sparta R'dam,0.9,2.0,61.0,6784.0,Damon Mirani,4-2-3-1,Richard Martens,Match Report,,17.0,1.0,18.3,0.0,0,0,2024,Volendam
12,2023-11-26,14:30,Eredivisie,Matchweek 13,Sun,Away,L,0.0,3.0,AZ Alkmaar,0.4,3.6,39.0,18261.0,Damon Mirani,4-2-3-1,Bas Nijhuis,Match Report,,7.0,1.0,18.2,0.0,0,0,2024,Volendam
13,2023-12-02,18:45,Eredivisie,Matchweek 14,Sat,Home,L,0.0,5.0,Zwolle,0.9,2.1,41.0,6800.0,Damon Mirani,4-3-3,Dennis Higler,Match Report,,9.0,3.0,19.8,0.0,0,0,2024,Volendam
14,2023-12-07,21:00,Eredivisie,Matchweek 15,Thu,Away,L,1.0,3.0,Feyenoord,0.5,3.4,17.0,40000.0,Xavier Mbuyamba,4-3-3,Martin van den Kerkhof,Match Report,,2.0,2.0,14.8,0.0,0,0,2024,Volendam
15,2023-12-16,21:00,Eredivisie,Matchweek 16,Sat,Away,W,2.0,1.0,Heerenveen,0.8,1.1,23.0,21800.0,Xavier Mbuyamba,3-5-1-1,Allard Lindhout,Match Report,,3.0,2.0,12.3,0.0,0,0,2024,Volendam
16,2024-01-14,12:15,Eredivisie,Matchweek 17,Sun,Home,L,0.0,1.0,Almere City,0.8,1.7,62.0,6738.0,Xavier Mbuyamba,3-5-1-1,Ingmar Oostrom,Match Report,,5.0,2.0,14.1,0.0,0,0,2024,Volendam
17,2024-01-20,18:45,Eredivisie,Matchweek 18,Sat,Away,D,1.0,1.0,Heracles Almelo,0.7,1.8,35.0,12080.0,Damon Mirani,3-5-1-1,Jannick van der Laan,Match Report,,11.0,2.0,17.6,0.0,0,0,2024,Volendam
0,2023-08-11,20:00,Eredivisie,Matchweek 1,Fri,Away,W,2.0,1.0,Volendam,1.5,0.7,71.0,6382.0,Nicolas Isimat-Mirin,4-2-3-1,Dennis Higler,Match Report,,13.0,9.0,20.0,2.0,0,0,2024,Vitesse
1,2023-08-19,18:45,Eredivisie,Matchweek 2,Sat,Home,L,1.0,3.0,PSV Eindhoven,2.1,2.3,35.0,14876.0,Marco van Ginkel,4-2-3-1,Bas Nijhuis,Match Report,,12.0,1.0,14.5,0.0,0,0,2024,Vitesse
2,2023-09-03,16:45,Eredivisie,Matchweek 4,Sun,Home,L,0.0,2.0,AZ Alkmaar,0.2,2.3,50.0,15734.0,Marco van Ginkel,4-2-3-1,Jeroen Manschot,Match Report,,4.0,2.0,17.5,0.0,0,0,2024,Vitesse
3,2023-09-16,18:45,Eredivisie,Matchweek 5,Sat,Home,L,0.0,2.0,RKC Waalwijk,0.7,1.8,56.0,16362.0,Marco van Ginkel,4-2-3-1,Allard Lindhout,Match Report,,16.0,2.0,17.1,0.0,0,0,2024,Vitesse
4,2023-09-24,12:15,Eredivisie,Matchweek 6,Sun,Away,L,0.0,1.0,Sparta R'dam,0.3,1.5,51.0,10320.0,Marco van Ginkel,4-2-3-1,Richard Martens,Match Report,,6.0,0.0,16.3,0.0,0,0,2024,Vitesse
5,2023-09-27,20:00,Eredivisie,Matchweek 3,Wed,Away,L,0.0,1.0,Twente,1.2,1.8,35.0,29000.0,Marco van Ginkel,4-2-3-1,Jannick van der Laan,Match Report,,10.0,3.0,16.3,0.0,0,0,2024,Vitesse
6,2023-10-01,12:15,Eredivisie,Matchweek 7,Sun,Away,W,3.0,1.0,NEC Nijmegen,1.2,1.1,37.0,12500.0,Marco van Ginkel,4-3-3,Sander van der Eijk,Match Report,,11.0,5.0,20.4,1.0,0,0,2024,Vitesse
7,2023-10-07,21:00,Eredivisie,Matchweek 8,Sat,Home,D,0.0,0.0,Excelsior,1.4,1.0,42.0,13887.0,Marco van Ginkel,4-3-3,Joey Kooij,Match Report,,21.0,7.0,17.1,0.0,0,0,2024,Vitesse
8,2023-10-21,21:00,Eredivisie,Matchweek 9,Sat,Away,L,0.0,4.0,Feyenoord,0.1,3.0,43.0,47500.0,Marco van Ginkel,4-2-3-1,Bas Nijhuis,Match Report,,4.0,1.0,25.3,0.0,0,0,2024,Vitesse
9,2023-10-27,20:00,Eredivisie,Matchweek 10,Fri,Home,D,1.0,1.0,Zwolle,2.3,0.2,63.0,15023.0,Marco van Ginkel,4-2-3-1,Robin Hensgens,Match Report,,30.0,11.0,15.2,1.0,0,0,2024,Vitesse
10,2023-11-04,21:00,Eredivisie,Matchweek 11,Sat,Away,L,1.0,5.0,Go Ahead Eag,0.6,3.2,60.0,9848.0,Marco van Ginkel,4-2-3-1,Erwin Blank,Match Report,,13.0,3.0,17.9,0.0,0,0,2024,Vitesse
11,2023-11-11,21:00,Eredivisie,Matchweek 12,Sat,Home,L,1.0,3.0,Heerenveen,0.5,2.3,40.0,14973.0,Marco van Ginkel,5-3-2,Edwin van de Graaf,Match Report,,9.0,5.0,17.7,0.0,0,0,2024,Vitesse
12,2023-11-25,21:00,Eredivisie,Matchweek 13,Sat,Away,L,0.0,5.0,Ajax,0.5,3.0,37.0,48250.0,Nicolas Isimat-Mirin,4-3-3,Dennis Higler,Match Report,,9.0,4.0,19.6,0.0,0,0,2024,Vitesse
13,2023-12-02,20:00,Eredivisie,Matchweek 14,Sat,Away,L,1.0,3.0,Fortuna Sittard,1.0,2.0,53.0,10009.0,Marco van Ginkel,4-3-3,Alex Bos,Match Report,,8.0,3.0,19.8,0.0,0,0,2024,Vitesse
14,2023-12-10,16:45,Eredivisie,Matchweek 15,Sun,Home,W,2.0,0.0,Heracles Almelo,1.4,1.9,49.0,17061.0,Marco van Ginkel,4-2-3-1,Serdar Gözübüyük,Match Report,,12.0,2.0,15.1,0.0,0,0,2024,Vitesse
15,2023-12-17,12:15,Eredivisie,Matchweek 16,Sun,Away,L,0.0,5.0,Almere City,0.4,1.8,56.0,4222.0,Marco van Ginkel,4-2-3-1,Danny Makkelie,Match Report,,7.0,4.0,18.9,0.0,0,0,2024,Vitesse
16,2024-01-14,14:30,Eredivisie,Matchweek 17,Sun,Home,D,0.0,0.0,Utrecht,0.9,1.6,41.0,14207.0,Marco van Ginkel,4-2-3-1,Richard Martens,Match Report,,12.0,6.0,20.0,0.0,0,0,2024,Vitesse
